Character(character=',', codepoint='U+002c', name='COMMA')
Character(character='Й', codepoint='U+0419', name='CYRILLIC CAPITAL LETTER SHORT I')
Character(character='К', codepoint='U+041a', name='CYRILLIC CAPITAL LETTER KA')
Character(character='Л', codepoint='U+041b', name='CYRILLIC CAPITAL LETTER EL')
Character(character='М', codepoint='U+041c', name='CYRILLIC CAPITAL LETTER EM')
Character(character='Н', codepoint='U+041d', name='CYRILLIC CAPITAL LETTER EN')
Character(character='О', codepoint='U+041e', name='CYRILLIC CAPITAL LETTER O')
Character(character='П', codepoint='U+041f', name='CYRILLIC CAPITAL LETTER PE')
Character(character='Р', codepoint='U+0420', name='CYRILLIC CAPITAL LETTER ER')
Character(character='С', codepoint='U+0421', name='CYRILLIC CAPITAL LETTER ES')
Character(character='Т', codepoint='U+0422', name='CYRILLIC CAPITAL LETTER TE')
Character(character='У', codepoint='U+0423', name='CYRILLIC CAPITAL LETTER U')
Character(character='Ф', codepoint='U+0424', name='CYRILLIC CAPITAL LETTER EF')
Character(character='Х', codepoint='U+0425', name='CYRILLIC CAPITAL LETTER HA')
Character(character='Ц', codepoint='U+0426', name='CYRILLIC CAPITAL LETTER TSE')
Character(character='Ч', codepoint='U+0427', name='CYRILLIC CAPITAL LETTER CHE')
Character(character='Ш', codepoint='U+0428', name='CYRILLIC CAPITAL LETTER SHA')
Character(character='Щ', codepoint='U+0429', name='CYRILLIC CAPITAL LETTER SHCHA')
Character(character='Ъ', codepoint='U+042a', name='CYRILLIC CAPITAL LETTER HARD SIGN')
Character(character='Ы', codepoint='U+042b', name='CYRILLIC CAPITAL LETTER YERU')
Character(character='Ь', codepoint='U+042c', name='CYRILLIC CAPITAL LETTER SOFT SIGN')
Character(character='Э', codepoint='U+042d', name='CYRILLIC CAPITAL LETTER E')
Character(character='Ю', codepoint='U+042e', name='CYRILLIC CAPITAL LETTER YU')
Character(character='Я', codepoint='U+042f', name='CYRILLIC CAPITAL LETTER YA')
Character(character='б', codepoint='U+0431', name='CYRILLIC SMALL LETTER BE')
Character(character='в', codepoint='U+0432', name='CYRILLIC SMALL LETTER VE')
Character(character='г', codepoint='U+0433', name='CYRILLIC SMALL LETTER GHE')
Character(character='д', codepoint='U+0434', name='CYRILLIC SMALL LETTER DE')
Character(character='е', codepoint='U+0435', name='CYRILLIC SMALL LETTER IE')
Character(character='ж', codepoint='U+0436', name='CYRILLIC SMALL LETTER ZHE')
Character(character='з', codepoint='U+0437', name='CYRILLIC SMALL LETTER ZE')
Character(character='и', codepoint='U+0438', name='CYRILLIC SMALL LETTER I')
Character(character='к', codepoint='U+043a', name='CYRILLIC SMALL LETTER KA')
Character(character='л', codepoint='U+043b', name='CYRILLIC SMALL LETTER EL')
Character(character='м', codepoint='U+043c', name='CYRILLIC SMALL LETTER EM')
Character(character='н', codepoint='U+043d', name='CYRILLIC SMALL LETTER EN')
Character(character='о', codepoint='U+043e', name='CYRILLIC SMALL LETTER O')
Character(character='п', codepoint='U+043f', name='CYRILLIC SMALL LETTER PE')
Character(character='р', codepoint='U+0440', name='CYRILLIC SMALL LETTER ER')
